total_expense,transaction_count,food_total,rent_total,travel_total,other_total,months,percent_change,target_column
4370.861069626262,16,3176.834303160484,2617.1589890194764,234.47987399225522,978.2009366940395,1,-0.3947804447618303,2709.8087537753095
9556.428757689246,20,1111.935195411444,3123.7507136483755,1688.3454097509557,432.222574428284,3,0.17201976218053505,11202.099481421074
7587.945476302646,28,2258.9812676220486,3380.526699622726,1144.524147790578,421.47310059374036,6,0.13542792070297194,8568.819112095525
6387.926357773329,23,1895.3205972030958,1039.6952845113426,1595.4392933029087,409.6824560644979,9,0.30576391829333127,8247.72263634138
2404.1677639819286,12,1012.3089725678719,2856.3806378140152,621.9660800207264,568.4894535743726,2,0.3252486666521809,3262.5946659696365
2403.9506830258238,35,1786.37047802036,4853.996963550353,821.1507419238208,496.59839508186417,11,0.3682030757789789,3341.1852490528972
1522.7525095137953,25,738.6030828492275,3076.1291205181947,254.1869699803741,891.923164054313,1,-0.08586848542090164,1407.0999002895487
8795.585311974417,21,590.3416743232044,3710.169069835813,1930.686184233402,554.9687125511413,10,0.19786439535214428,10609.81817985971
6410.035105688879,27,973.0820120418796,2247.455431667533,1402.1622320614642,556.9820543697119,3,-0.23174964107768925,4935.707725637774
7372.653200164409,41,3870.9028905621085,4095.96551261105,1879.7691579667512,224.53443524850093,4,0.49933627998350427,11027.534575212101
1185.260448662222,20,2423.3533756325596,4091.6859275044603,677.8935333723302,984.4655868193473,11,-0.32466575862314007,828.2035781838089
9729.18866945795,10,3880.3775640362696,3085.184190616556,1300.6345002061896,324.9756017819467,5,-0.4898855683391642,4921.513264828196
8491.983767203796,12,2013.7425741554619,4904.055293116855,1421.2999429267481,166.0276607136424,3,-0.351191285481824,5459.890680816053
2911.0519961044856,29,1591.3564657984084,1502.2008590506134,771.5894604636592,696.8316240776879,10,0.2758722895441267,3752.710930732193
2636.4247048639054,22,2271.4965199408543,1067.790659558324,1726.5966230281342,635.8297331411854,11,-0.05321632349178851,2538.911813286329
2650.6405886809043,29,2038.2909102151855,4080.632847028384,1904.890633220446,473.63108859347113,2,-0.0524997521895717,2447.795700607166
3738.1801866358396,16,869.8263949161037,4228.62214945953,1792.7392118528078,479.97301049261023,2,0.4550229196116685,5377.29796507128
5722.807884690141,19,2742.8921014157218,1480.828916482305,1530.3205566908705,806.5575289417881,7,0.41963490802807424,8102.045360362777
4887.505167779042,30,1256.1336387835986,2062.3313318344244,699.4364235049172,276.1413760896842,9,-0.1888052621959908,3929.1532314332762
